"5500","静安","江宁路","","65㎡
","南","/zufang/SH2359988630862708736.html"
"4300","静安","西藏北路","","38㎡
","北","/zufang/SH2500786633738027008.html"
"8500","静安","大宁","","95㎡
","南","/zufang/SH2523002110149672960.html"
"7800","静安","南京西路","","52㎡
","西南","/zufang/SH2436948574592827392.html"
"6800","静安","南京西路","","33㎡
","南","/zufang/SH2492753976504614912.html"
"6800","静安","南京西路","","43㎡
","东","/zufang/SH2524420800275562496.html"
"11500","静安","曹家渡","","75㎡
","南 北","/zufang/SH2532399440401276928.html"
"17500","静安","江宁路","","99㎡
","南","/zufang/SH2524777549503143936.html"
"6600","静安","曹家渡","","55㎡
","南","/zufang/SH2392094178487312384.html"
"6500","静安","曹家渡","","55㎡
","南","/zufang/SH2433101927886618624.html"
"6550","静安","曹家渡","","50㎡
","南","/zufang/SH2438484828988121088.html"
"9600","静安","南京西路","","61㎡
","西南","/zufang/SH2490581777283031040.html"
"6999","静安","不夜城","","74㎡
","南","/zufang/SH2531084727331323904.html"
"3500","静安","大宁","","36㎡
","南","/zufang/SH2533077672411021312.html"
"3300","静安","曹家渡","","24㎡
","北","/zufang/SH2531038900903231488.html"
"3300","静安","彭浦","","40㎡
","南","/zufang/SH2528814632542945280.html"
"3200","静安","阳城","","44㎡
","南","/zufang/SH2531759153890721792.html"
"3500","静安","大宁","","61㎡
","南","/zufang/SH2533340123266031616.html"
"3500","静安","彭浦","","42㎡
","南","/zufang/SH2533341576416206848.html"
"3400","静安","大宁","","44㎡
","南","/zufang/SH2498557150935662592.html"
"3200","静安","永和","","44㎡
","南","/zufang/SH2523806769957052416.html"
"3500","静安","彭浦","","40㎡
","南","/zufang/SH2512935007035858944.html"
"3500","静安","彭浦","","43㎡
","南","/zufang/SH2523776337034870784.html"
"3500","静安","永和","","41㎡
","南","/zufang/SH2529047243357962240.html"
"3500","静安","彭浦","","45㎡
","南","/zufang/SH2528728866777219072.html"
"3300","静安","阳城","","44㎡
","南","/zufang/SH2480329484348702720.html"
"3300","静安","彭浦","","33㎡
","南","/zufang/SH2528212169032466432.html"
"3100","静安","西藏北路","","28㎡
","南","/zufang/SH2528082326626508800.html"
"3000","静安","彭浦","","37㎡
","南","/zufang/SH2521678514290163712.html"
"2500","静安","静安寺","","13㎡
","北","/zufang/SH2523090230412845056.html"
"3500","静安","西藏北路","","18㎡
","北","/zufang/SH2488421627096997888.html"
"3100","静安","西藏北路","","28㎡
","南","/zufang/SH2528082326626508800.html"
"2500","静安","静安寺","","13㎡
","北","/zufang/SH2523090230412845056.html"
"3500","静安","西藏北路","","15㎡
","南","/zufang/SH2496909307560329216.html"
"3500","静安","永和","","32㎡
","南","/zufang/SH2526581377391411200.html"
"3500","静安","西藏北路","","27㎡
","北","/zufang/SH2503479225500041216.html"
"3500","静安","彭浦","","35㎡
","南","/zufang/SH2527591660184150016.html"
"5000","静安","彭浦","","79㎡
","南","/zufang/SH2531816938372333568.html"
"3000","静安","彭浦","","30㎡
","南","/zufang/SH2531229271251763200.html"
"5600","静安","彭浦","","73㎡
","南 北","/zufang/SH2531860955227226112.html"
"5800","静安","彭浦","","78㎡
","南","/zufang/SH2532503698836291584.html"
"3500","静安","不夜城","","25㎡
","南","/zufang/SH2486266754737905664.html"
"4500","静安","彭浦","","73㎡
","南 北","/zufang/SH2531800419358228480.html"
"5000","静安","不夜城","","46㎡
","南","/zufang/SH2530340708779294720.html"
"3400","静安","彭浦","","42㎡
","南","/zufang/SH2507798411101601792.html"
"3500","静安","彭浦","","37㎡
","南","/zufang/SH2516595373561626624.html"
"3200","静安","彭浦","","38㎡
","南","/zufang/SH2517454798194737152.html"
"4500","静安","大宁","","44㎡
","南","/zufang/SH2531839577866641408.html"
"3500","静安","大宁","","39㎡
","南","/zufang/SH2521689450879123456.html"
"4500","静安","曹家渡","","34㎡
","南","/zufang/SH2532498352155656192.html"
"4500","静安","西藏北路","","32㎡
","西南","/zufang/SH2531961540568162304.html"
"5800","静安","阳城","","57㎡
","东南 南","/zufang/SH2531846677447311360.html"
"3400","静安","永和","","32㎡
","南","/zufang/SH2508022265703309312.html"
"3500","静安","静安寺","","19㎡
","西","/zufang/SH2501233977365905408.html"
"3400","静安","彭浦","","38㎡
","南","/zufang/SH2496333355549720576.html"
"3300","静安","闸北公园","","35㎡
","南","/zufang/SH2523252481996365824.html"
"5200","静安","彭浦","","69㎡
","南","/zufang/SH2531748723873021952.html"
"5800","静安","大宁","","70㎡
","南 北","/zufang/SH2530480904422293504.html"
"6000","静安","大宁","","61㎡
","南","/zufang/SH2529498335912935424.html"
"4500","静安","彭浦","","63㎡
","南","/zufang/SH2529521133968171008.html"
"4500","静安","大宁","","46㎡
","南","/zufang/SH2528786287058485248.html"
"3400","静安","闸北公园","","29㎡
","西 北","/zufang/SH2453534942907604992.html"
"4800","静安","彭浦","","54㎡
","南","/zufang/SH2531625638130368512.html"
"5800","静安","大宁","","48㎡
","南","/zufang/SH2531886345774186496.html"
"4600","静安","大宁","","47㎡
","南","/zufang/SH2532367848794497024.html"
"5700","静安","彭浦","","76㎡
","南 北","/zufang/SH2528978057927065600.html"
"4900","静安","彭浦","","65㎡
","南","/zufang/SH2531210021719777280.html"
"5500","静安","彭浦","","58㎡
","南","/zufang/SH2531060501954166784.html"
"5400","静安","彭浦","","78㎡
","南 北","/zufang/SH2532581815634362368.html"
